,city,idx,url
0,Cupertino,54,http://aqicn.org/city/california/santa-clara-valley/cupertino/
1,Santa Rosa,45,http://aqicn.org/city/california/north-counties/santa-rosa/
2,San Jose,56,http://aqicn.org/city/california/santa-clara-valley/san-jose-central/
3,San Jose,6454,http://aqicn.org/city/california/santa-clara-valley/san-jose-fwy/
4,Napa,43,http://aqicn.org/city/california/north-counties/napa/
5,San Rafael,44,http://aqicn.org/city/california/north-counties/san-rafael/
6,Sebastopol,4612,http://aqicn.org/city/california/north-counties/sebastopol/
7,Berkeley Aquatic,9588,http://aqicn.org/city/california/coast---central-bay/berkeley-aquatic-park/
8,Laney College,6453,http://aqicn.org/city/california/coast-and-central-bay/laney-college-fwy/
9,Oakland,47,http://aqicn.org/city/california/coast-and-central-bay/oakland/
10,Oakland West,48,http://aqicn.org/city/california/coast-and-central-bay/oakland-west/
11,San Francisco,49,http://aqicn.org/city/california/coast-and-central-bay/san-francisco/
12,San Pablo,50,http://aqicn.org/city/california/coast-and-central-bay/san-pablo/
13,Concord,51,http://aqicn.org/city/california/eastern-district/concord/
14,Livermore,52,http://aqicn.org/city/california/eastern-district/livermore/
15,Redwood City,53,http://aqicn.org/city/california/south-central-bay/redwood-city/
16,Gilroy,55,http://aqicn.org/city/california/santa-clara-valley/gilroy/
17,San Jose,9589,http://aqicn.org/city/california/santa-clara-valley/san-jose-jackson-st./
18,San Jose,9590,http://aqicn.org/city/california/santa-clara-valley/san-jose-knox-av/
19,Napa ,9591,http://aqicn.org/city/california/northern-zone/napa-napa-valley-college/
20,Vallejo,46,http://aqicn.org/city/california/north-counties/vallejo/
21,Los Angeles,243,http://aqicn.org/city/losangeles/los-angeles-north-main-street/
22,North Long,244,http://aqicn.org/city/losangeles/north-long-beach-long-beach/
23,Reseda,245,http://aqicn.org/city/losangeles/reseda/
24,Burbank,241,http://aqicn.org/city/losangeles/burbank/
25,Glendora,242,http://aqicn.org/city/losangeles/glendora-laurel/
26,Santa Clarita,246,http://aqicn.org/city/losangeles/santa-clarita-placerita/
27,Rubidoux ,252,http://aqicn.org/city/california/riverside/rubidoux-mission-blvd/
28,Riverside,251,http://aqicn.org/city/california/riverside/riverside-magnolia/
29,Lake Elsinore,249,http://aqicn.org/city/california/riverside/lake-elsinore-w-flint-street/
30,Banning,248,http://aqicn.org/city/california/riverside/banning-airport/
31,Upland,255,http://aqicn.org/city/california/san-bernardino/upland/
32,Lake Gregory,254,http://aqicn.org/city/california/san-bernardino/lake-gregory-crestline/
33,San Andreas,229,http://aqicn.org/city/california/calaveras/san-andreas-gold-strike-road/
34,Yosemite Village,230,http://aqicn.org/city/california/mariposa/yosemite-village-visitor-center/
35,Grass Valley,231,http://aqicn.org/city/california/nevada/grass-valley-litton-building/
36,Truckee ,232,http://aqicn.org/city/california/nevada/truckee-fire-station/
37,Colfax,233,http://aqicn.org/city/california/placer/colfax-city-hall/
38,Chester,234,http://aqicn.org/city/california/plumas/chester/
39,Portola ,235,http://aqicn.org/city/california/plumas/portola-nevada-street/
40,Quincy,236,http://aqicn.org/city/california/plumas/quincy-n-church-street/
41,Mojave,237,http://aqicn.org/city/california/kern/mojave/
42,Carmel Valley,238,http://aqicn.org/city/california/monterey/carmel-valley-ford-road/
43,King City,239,http://aqicn.org/city/california/monterey/king-city-pearl/
44,Santa Cruz,240,http://aqicn.org/city/california/santa-cruz/santa-cruz-soquel-avenue/
